@relation sonar
@attribute Band1 real[0.0020,0.137]
@attribute Band2 real[0.0010,0.234]
@attribute Band3 real[0.0020,0.306]
@attribute Band4 real[0.0060,0.426]
@attribute Band5 real[0.0070,0.401]
@attribute Band6 real[0.01,0.382]
@attribute Band7 real[0.0030,0.373]
@attribute Band8 real[0.0060,0.459]
@attribute Band9 real[0.0080,0.683]
@attribute Band10 real[0.011,0.711]
@attribute Band11 real[0.029,0.734]
@attribute Band12 real[0.024,0.706]
@attribute Band13 real[0.018,0.713]
@attribute Band14 real[0.027,0.997]
@attribute Band15 real[0.0030,1.0]
@attribute Band16 real[0.016,0.999]
@attribute Band17 real[0.035,1.0]
@attribute Band18 real[0.038,1.0]
@attribute Band19 real[0.049,1.0]
@attribute Band20 real[0.066,1.0]
@attribute Band21 real[0.051,1.0]
@attribute Band22 real[0.022,1.0]
@attribute Band23 real[0.056,1.0]
@attribute Band24 real[0.024,1.0]
@attribute Band25 real[0.024,1.0]
@attribute Band26 real[0.092,1.0]
@attribute Band27 real[0.048,1.0]
@attribute Band28 real[0.028,1.0]
@attribute Band29 real[0.014,1.0]
@attribute Band30 real[0.061,1.0]
@attribute Band31 real[0.048,0.966]
@attribute Band32 real[0.04,0.931]
@attribute Band33 real[0.048,1.0]
@attribute Band34 real[0.021,0.965]
@attribute Band35 real[0.022,1.0]
@attribute Band36 real[0.0080,1.0]
@attribute Band37 real[0.035,0.95]
@attribute Band38 real[0.038,1.0]
@attribute Band39 real[0.037,0.986]
@attribute Band40 real[0.012,0.93]
@attribute Band41 real[0.036,0.9]
@attribute Band42 real[0.0060,0.825]
@attribute Band43 real[0.0,0.773]
@attribute Band44 real[0.0,0.776]
@attribute Band45 real[0.0,0.703]
@attribute Band46 real[0.0,0.729]
@attribute Band47 real[0.0,0.552]
@attribute Band48 real[0.0,0.334]
@attribute Band49 real[0.0,0.198]
@attribute Band50 real[0.0,0.082]
@attribute Band51 real[0.0,0.1]
@attribute Band52 real[0.0010,0.071]
@attribute Band53 real[0.0,0.039]
@attribute Band54 real[0.0010,0.035]
@attribute Band55 real[0.0010,0.045]
@attribute Band56 real[0.0,0.039]
@attribute Band57 real[0.0,0.036]
@attribute Band58 real[0.0,0.044]
@attribute Band59 real[0.0,0.036]
@attribute Band60 real[0.0010,0.044]
@attribute Type{R,M}
@inputs Band1, Band2, Band3, Band4, Band5, Band6, Band7, Band8, Band9, Band10, Band11, Band12, Band13, Band14, Band15, Band16, Band17, Band18, Band19, Band20, Band21, Band22, Band23, Band24, Band25, Band26, Band27, Band28, Band29, Band30, Band31, Band32, Band33, Band34, Band35, Band36, Band37, Band38, Band39, Band40, Band41, Band42, Band43, Band44, Band45, Band46, Band47, Band48, Band49, Band50, Band51, Band52, Band53, Band54, Band55, Band56, Band57, Band58, Band59, Band60
@outputs Type
@data
0.066, 0.058, 0.084, 0.037, 0.046, 0.077, 0.077, 0.113, 0.235, 0.184, 0.287, 0.413, 0.365, 0.198, 0.284, 0.404, 0.584, 0.679, 0.609, 0.486, 0.325, 0.201, 0.208, 0.169, 0.248, 0.274, 0.298, 0.466, 0.699, 0.747, 0.796, 0.798, 0.672, 0.694, 0.744, 0.817, 0.891, 1.0, 0.875, 0.706, 0.68, 0.59, 0.462, 0.364, 0.149, 0.122, 0.131, 0.12, 0.058, 0.024, 0.014, 0.014, 0.019, 0.0040, 0.0040, 0.0030, 0.0020, 0.016, 0.011, 0.0080, R
0.029, 0.064, 0.039, 0.017, 0.048, 0.082, 0.099, 0.032, 0.074, 0.086, 0.041, 0.047, 0.084, 0.094, 0.147, 0.081, 0.118, 0.218, 0.333, 0.326, 0.211, 0.23, 0.336, 0.426, 0.461, 0.261, 0.087, 0.286, 0.561, 0.834, 0.81, 0.725, 0.805, 0.944, 1.0, 0.896, 0.552, 0.304, 0.234, 0.238, 0.332, 0.382, 0.158, 0.223, 0.158, 0.143, 0.163, 0.113, 0.057, 0.013, 0.017, 0.0040, 0.0050, 0.0080, 0.0080, 0.0080, 0.01, 0.016, 0.01, 0.0010, R
0.015, 0.032, 0.06, 0.105, 0.116, 0.173, 0.168, 0.112, 0.089, 0.12, 0.085, 0.152, 0.23, 0.279, 0.34, 0.453, 0.695, 0.881, 0.915, 0.754, 0.674, 0.715, 0.834, 0.77, 0.699, 0.654, 0.504, 0.493, 0.499, 0.416, 0.163, 0.04, 0.064, 0.296, 0.361, 0.187, 0.048, 0.15, 0.24, 0.198, 0.318, 0.238, 0.172, 0.156, 0.156, 0.042, 0.049, 0.048, 0.022, 0.0060, 0.0090, 0.0060, 0.0020, 0.0080, 0.013, 0.0050, 0.0010, 0.0020, 0.0020, 0.0060, R
0.019, 0.031, 0.02, 0.062, 0.0080, 0.079, 0.144, 0.145, 0.179, 0.252, 0.261, 0.371, 0.391, 0.267, 0.272, 0.418, 0.699, 0.573, 0.223, 0.263, 0.747, 0.726, 0.339, 0.282, 0.605, 0.59, 0.497, 0.862, 0.834, 0.408, 0.227, 0.174, 0.051, 0.159, 0.304, 0.137, 0.16, 0.206, 0.073, 0.02, 0.164, 0.158, 0.183, 0.189, 0.101, 0.066, 0.018, 0.04, 0.011, 0.014, 0.0090, 0.0040, 0.01, 0.014, 0.019, 0.014, 0.01, 0.0090, 0.0050, 0.0080, R
0.012, 0.0020, 0.02, 0.021, 0.018, 0.049, 0.0030, 0.04, 0.079, 0.048, 0.115, 0.052, 0.119, 0.194, 0.184, 0.208, 0.196, 0.163, 0.122, 0.102, 0.135, 0.316, 0.464, 0.591, 0.678, 0.812, 0.859, 0.923, 0.839, 0.724, 0.629, 0.518, 0.463, 0.526, 0.515, 0.393, 0.128, 0.041, 0.086, 0.113, 0.131, 0.176, 0.265, 0.196, 0.066, 0.058, 0.032, 0.03, 0.027, 0.0070, 0.015, 0.012, 0.013, 0.0030, 0.0040, 0.0020, 0.011, 0.0060, 0.0050, 0.0070, R
0.0090, 0.021, 0.021, 0.05, 0.066, 0.08, 0.097, 0.087, 0.074, 0.084, 0.158, 0.09, 0.031, 0.186, 0.297, 0.203, 0.126, 0.166, 0.166, 0.209, 0.231, 0.446, 0.663, 0.693, 0.766, 0.821, 0.705, 0.756, 0.747, 0.639, 0.485, 0.333, 0.536, 0.874, 0.857, 0.672, 0.345, 0.315, 0.27, 0.26, 0.274, 0.359, 0.438, 0.246, 0.076, 0.019, 0.08, 0.075, 0.037, 0.016, 0.03, 0.011, 0.011, 0.01, 0.0030, 0.01, 0.01, 0.0040, 0.0070, 0.011, R
0.013, 0.0010, 0.0090, 0.046, 0.052, 0.078, 0.093, 0.094, 0.171, 0.148, 0.153, 0.11, 0.089, 0.124, 0.12, 0.114, 0.214, 0.284, 0.364, 0.543, 0.667, 0.798, 0.927, 0.903, 0.919, 1.0, 0.982, 0.909, 0.818, 0.696, 0.59, 0.545, 0.514, 0.539, 0.553, 0.532, 0.483, 0.379, 0.183, 0.175, 0.168, 0.067, 0.061, 0.038, 0.053, 0.028, 0.018, 0.011, 0.0070, 0.012, 0.0090, 0.0080, 0.0040, 0.0010, 0.0010, 0.0040, 0.0040, 0.0020, 0.0020, 0.0020, R
0.0070, 0.01, 0.0020, 0.0060, 0.02, 0.062, 0.043, 0.095, 0.084, 0.118, 0.098, 0.091, 0.066, 0.059, 0.083, 0.13, 0.204, 0.381, 0.445, 0.522, 0.591, 0.657, 0.631, 0.6, 0.496, 0.565, 0.691, 0.851, 1.0, 0.917, 0.768, 0.618, 0.547, 0.552, 0.546, 0.552, 0.456, 0.347, 0.338, 0.285, 0.25, 0.164, 0.16, 0.149, 0.133, 0.069, 0.06, 0.056, 0.031, 0.015, 0.0030, 0.0050, 0.0020, 0.0020, 0.0040, 0.0020, 0.0030, 0.0030, 0.0050, 0.0030, R
0.022, 0.034, 0.039, 0.024, 0.108, 0.116, 0.14, 0.101, 0.115, 0.178, 0.408, 0.411, 0.397, 0.508, 0.651, 0.807, 0.982, 1.0, 0.941, 0.845, 0.811, 0.846, 0.621, 0.582, 0.774, 0.82, 0.56, 0.299, 0.501, 0.663, 0.575, 0.406, 0.375, 0.348, 0.158, 0.142, 0.213, 0.187, 0.1, 0.24, 0.224, 0.203, 0.071, 0.161, 0.167, 0.17, 0.183, 0.14, 0.051, 0.022, 0.01, 0.0030, 0.01, 0.0080, 0.0080, 0.0090, 0.0030, 0.0030, 0.0010, 0.0070, R
0.063, 0.106, 0.153, 0.123, 0.144, 0.119, 0.088, 0.091, 0.211, 0.36, 0.547, 0.52, 0.513, 0.54, 0.656, 0.87, 0.979, 0.934, 0.792, 0.738, 0.691, 0.385, 0.067, 0.05, 0.272, 0.284, 0.223, 0.191, 0.041, 0.253, 0.198, 0.189, 0.243, 0.196, 0.267, 0.134, 0.107, 0.202, 0.179, 0.023, 0.131, 0.178, 0.155, 0.163, 0.071, 0.013, 0.08, 0.076, 0.012, 0.0060, 0.026, 0.0090, 0.026, 0.011, 0.014, 0.019, 0.023, 0.0060, 0.011, 0.013, M
