@relation sonar
@attribute Band1 real[0.0020,0.137]
@attribute Band2 real[0.0010,0.234]
@attribute Band3 real[0.0020,0.306]
@attribute Band4 real[0.0060,0.426]
@attribute Band5 real[0.0070,0.401]
@attribute Band6 real[0.01,0.382]
@attribute Band7 real[0.0030,0.373]
@attribute Band8 real[0.0060,0.459]
@attribute Band9 real[0.0080,0.683]
@attribute Band10 real[0.011,0.711]
@attribute Band11 real[0.029,0.734]
@attribute Band12 real[0.024,0.706]
@attribute Band13 real[0.018,0.713]
@attribute Band14 real[0.027,0.997]
@attribute Band15 real[0.0030,1.0]
@attribute Band16 real[0.016,0.999]
@attribute Band17 real[0.035,1.0]
@attribute Band18 real[0.038,1.0]
@attribute Band19 real[0.049,1.0]
@attribute Band20 real[0.066,1.0]
@attribute Band21 real[0.051,1.0]
@attribute Band22 real[0.022,1.0]
@attribute Band23 real[0.056,1.0]
@attribute Band24 real[0.024,1.0]
@attribute Band25 real[0.024,1.0]
@attribute Band26 real[0.092,1.0]
@attribute Band27 real[0.048,1.0]
@attribute Band28 real[0.028,1.0]
@attribute Band29 real[0.014,1.0]
@attribute Band30 real[0.061,1.0]
@attribute Band31 real[0.048,0.966]
@attribute Band32 real[0.04,0.931]
@attribute Band33 real[0.048,1.0]
@attribute Band34 real[0.021,0.965]
@attribute Band35 real[0.022,1.0]
@attribute Band36 real[0.0080,1.0]
@attribute Band37 real[0.035,0.95]
@attribute Band38 real[0.038,1.0]
@attribute Band39 real[0.037,0.986]
@attribute Band40 real[0.012,0.93]
@attribute Band41 real[0.036,0.9]
@attribute Band42 real[0.0060,0.825]
@attribute Band43 real[0.0,0.773]
@attribute Band44 real[0.0,0.776]
@attribute Band45 real[0.0,0.703]
@attribute Band46 real[0.0,0.729]
@attribute Band47 real[0.0,0.552]
@attribute Band48 real[0.0,0.334]
@attribute Band49 real[0.0,0.198]
@attribute Band50 real[0.0,0.082]
@attribute Band51 real[0.0,0.1]
@attribute Band52 real[0.0010,0.071]
@attribute Band53 real[0.0,0.039]
@attribute Band54 real[0.0010,0.035]
@attribute Band55 real[0.0010,0.045]
@attribute Band56 real[0.0,0.039]
@attribute Band57 real[0.0,0.036]
@attribute Band58 real[0.0,0.044]
@attribute Band59 real[0.0,0.036]
@attribute Band60 real[0.0010,0.044]
@attribute Type{R,M}
@inputs Band1, Band2, Band3, Band4, Band5, Band6, Band7, Band8, Band9, Band10, Band11, Band12, Band13, Band14, Band15, Band16, Band17, Band18, Band19, Band20, Band21, Band22, Band23, Band24, Band25, Band26, Band27, Band28, Band29, Band30, Band31, Band32, Band33, Band34, Band35, Band36, Band37, Band38, Band39, Band40, Band41, Band42, Band43, Band44, Band45, Band46, Band47, Band48, Band49, Band50, Band51, Band52, Band53, Band54, Band55, Band56, Band57, Band58, Band59, Band60
@outputs Type
@data
0.022, 0.038, 0.048, 0.048, 0.065, 0.059, 0.075, 0.01, 0.068, 0.149, 0.116, 0.165, 0.383, 0.36, 0.171, 0.114, 0.035, 0.38, 0.74, 0.992, 0.98, 0.889, 0.671, 0.429, 0.337, 0.737, 0.961, 0.735, 0.486, 0.159, 0.301, 0.41, 0.317, 0.33, 0.341, 0.219, 0.246, 0.273, 0.168, 0.279, 0.256, 0.174, 0.212, 0.11, 0.098, 0.127, 0.146, 0.116, 0.078, 0.044, 0.0060, 0.014, 0.013, 0.014, 0.0060, 0.0050, 0.0060, 0.0090, 0.0060, 0.0020, R
0.016, 0.017, 0.035, 0.0070, 0.019, 0.067, 0.106, 0.07, 0.096, 0.025, 0.08, 0.106, 0.127, 0.089, 0.02, 0.113, 0.283, 0.323, 0.324, 0.433, 0.607, 0.765, 0.92, 0.972, 0.921, 0.754, 0.829, 0.891, 0.731, 0.69, 0.583, 0.494, 0.31, 0.031, 0.024, 0.111, 0.159, 0.137, 0.07, 0.045, 0.062, 0.142, 0.16, 0.138, 0.037, 0.069, 0.087, 0.051, 0.0090, 0.02, 0.012, 0.0090, 0.022, 0.018, 0.0080, 0.0070, 0.0030, 0.0040, 0.0060, 0.0040, R
0.03, 0.062, 0.065, 0.092, 0.162, 0.229, 0.218, 0.203, 0.146, 0.085, 0.248, 0.364, 0.278, 0.283, 0.324, 0.434, 0.564, 0.456, 0.435, 0.643, 0.393, 0.199, 0.354, 0.916, 0.937, 0.462, 0.277, 0.661, 0.803, 0.42, 0.519, 0.696, 0.579, 0.889, 0.786, 0.713, 0.762, 0.44, 0.301, 0.316, 0.281, 0.29, 0.053, 0.187, 0.155, 0.163, 0.125, 0.075, 0.045, 0.0060, 0.015, 0.0030, 0.015, 0.0070, 0.021, 0.0080, 0.015, 0.0050, 0.02, 0.0070, R
0.033, 0.022, 0.027, 0.048, 0.068, 0.098, 0.084, 0.117, 0.076, 0.092, 0.148, 0.052, 0.112, 0.097, 0.117, 0.168, 0.164, 0.12, 0.049, 0.154, 0.348, 0.615, 0.915, 0.936, 0.868, 0.877, 0.855, 0.883, 1.0, 0.83, 0.66, 0.55, 0.572, 0.686, 0.682, 0.514, 0.275, 0.136, 0.155, 0.265, 0.199, 0.188, 0.275, 0.165, 0.058, 0.07, 0.06, 0.046, 0.0020, 0.0070, 0.0040, 0.0020, 0.0030, 0.0060, 0.0050, 0.0060, 0.014, 0.013, 0.0050, 0.0040, R
0.0090, 0.027, 0.022, 0.034, 0.03, 0.117, 0.145, 0.064, 0.074, 0.136, 0.213, 0.374, 0.374, 0.267, 0.233, 0.537, 0.731, 0.766, 0.627, 0.44, 0.433, 0.433, 0.554, 0.736, 0.859, 0.899, 0.942, 0.94, 0.938, 0.858, 0.728, 0.67, 0.755, 0.877, 0.992, 0.992, 0.942, 0.839, 0.66, 0.482, 0.292, 0.177, 0.114, 0.07, 0.158, 0.194, 0.111, 0.069, 0.018, 0.02, 0.031, 0.021, 0.0090, 0.0060, 0.0090, 0.0090, 0.0070, 0.012, 0.0060, 0.011, R
0.041, 0.065, 0.04, 0.06, 0.05, 0.182, 0.118, 0.102, 0.058, 0.218, 0.246, 0.333, 0.309, 0.261, 0.323, 0.373, 0.42, 0.536, 0.706, 0.82, 0.884, 0.83, 0.761, 0.76, 0.837, 0.89, 0.765, 0.59, 0.304, 0.082, 0.279, 0.724, 0.803, 0.805, 0.768, 0.747, 0.625, 0.173, 0.292, 0.5, 0.522, 0.482, 0.4, 0.388, 0.165, 0.044, 0.066, 0.042, 0.048, 0.024, 0.0070, 0.0060, 0.013, 0.018, 0.0070, 0.02, 0.02, 0.01, 0.0070, 0.0060, R
0.038, 0.032, 0.042, 0.035, 0.179, 0.164, 0.089, 0.082, 0.178, 0.205, 0.314, 0.312, 0.369, 0.388, 0.585, 0.787, 0.974, 1.0, 0.984, 0.861, 0.844, 0.906, 0.585, 0.403, 0.595, 0.679, 0.639, 0.5, 0.558, 0.483, 0.473, 0.332, 0.397, 0.389, 0.231, 0.104, 0.131, 0.086, 0.257, 0.318, 0.265, 0.271, 0.171, 0.058, 0.123, 0.22, 0.22, 0.107, 0.042, 0.016, 0.0090, 0.0050, 0.0040, 0.0080, 0.01, 0.0060, 0.0060, 0.0060, 0.0040, 0.0050, R
0.019, 0.037, 0.095, 0.082, 0.025, 0.049, 0.142, 0.197, 0.187, 0.181, 0.214, 0.152, 0.198, 0.484, 0.73, 0.781, 0.791, 0.612, 0.42, 0.281, 0.515, 0.757, 0.86, 1.0, 0.846, 0.68, 0.697, 0.584, 0.477, 0.52, 0.424, 0.159, 0.167, 0.059, 0.397, 0.715, 0.732, 0.351, 0.059, 0.269, 0.42, 0.387, 0.244, 0.2, 0.231, 0.189, 0.196, 0.17, 0.137, 0.04, 0.014, 0.0090, 0.0030, 0.011, 0.0030, 0.0060, 0.0090, 0.0060, 0.0070, 0.0020, R
0.024, 0.029, 0.075, 0.052, 0.023, 0.083, 0.068, 0.2, 0.288, 0.367, 0.297, 0.084, 0.191, 0.504, 0.635, 0.68, 0.75, 0.66, 0.451, 0.296, 0.402, 0.679, 0.83, 1.0, 0.824, 0.712, 0.773, 0.612, 0.494, 0.565, 0.491, 0.182, 0.181, 0.111, 0.46, 0.665, 0.642, 0.217, 0.195, 0.495, 0.492, 0.404, 0.24, 0.139, 0.178, 0.195, 0.172, 0.152, 0.093, 0.018, 0.024, 0.0080, 0.0040, 0.01, 0.01, 0.0030, 0.013, 0.0070, 0.011, 0.0090, R
0.036, 0.048, 0.03, 0.021, 0.141, 0.192, 0.135, 0.161, 0.17, 0.144, 0.199, 0.215, 0.286, 0.357, 0.398, 0.436, 0.533, 0.63, 0.7, 0.744, 0.838, 0.864, 0.901, 0.943, 0.954, 1.0, 0.955, 0.974, 0.896, 0.72, 0.546, 0.316, 0.252, 0.197, 0.219, 0.153, 0.071, 0.15, 0.176, 0.228, 0.132, 0.106, 0.197, 0.169, 0.188, 0.118, 0.078, 0.05, 0.049, 0.019, 0.025, 0.012, 0.019, 0.0060, 0.01, 0.0050, 0.0070, 0.011, 0.0070, 0.0030, M
