@relation sonar
@attribute Band1 real[0.0020,0.137]
@attribute Band2 real[0.0010,0.234]
@attribute Band3 real[0.0020,0.306]
@attribute Band4 real[0.0060,0.426]
@attribute Band5 real[0.0070,0.401]
@attribute Band6 real[0.01,0.382]
@attribute Band7 real[0.0030,0.373]
@attribute Band8 real[0.0060,0.459]
@attribute Band9 real[0.0080,0.683]
@attribute Band10 real[0.011,0.711]
@attribute Band11 real[0.029,0.734]
@attribute Band12 real[0.024,0.706]
@attribute Band13 real[0.018,0.713]
@attribute Band14 real[0.027,0.997]
@attribute Band15 real[0.0030,1.0]
@attribute Band16 real[0.016,0.999]
@attribute Band17 real[0.035,1.0]
@attribute Band18 real[0.038,1.0]
@attribute Band19 real[0.049,1.0]
@attribute Band20 real[0.066,1.0]
@attribute Band21 real[0.051,1.0]
@attribute Band22 real[0.022,1.0]
@attribute Band23 real[0.056,1.0]
@attribute Band24 real[0.024,1.0]
@attribute Band25 real[0.024,1.0]
@attribute Band26 real[0.092,1.0]
@attribute Band27 real[0.048,1.0]
@attribute Band28 real[0.028,1.0]
@attribute Band29 real[0.014,1.0]
@attribute Band30 real[0.061,1.0]
@attribute Band31 real[0.048,0.966]
@attribute Band32 real[0.04,0.931]
@attribute Band33 real[0.048,1.0]
@attribute Band34 real[0.021,0.965]
@attribute Band35 real[0.022,1.0]
@attribute Band36 real[0.0080,1.0]
@attribute Band37 real[0.035,0.95]
@attribute Band38 real[0.038,1.0]
@attribute Band39 real[0.037,0.986]
@attribute Band40 real[0.012,0.93]
@attribute Band41 real[0.036,0.9]
@attribute Band42 real[0.0060,0.825]
@attribute Band43 real[0.0,0.773]
@attribute Band44 real[0.0,0.776]
@attribute Band45 real[0.0,0.703]
@attribute Band46 real[0.0,0.729]
@attribute Band47 real[0.0,0.552]
@attribute Band48 real[0.0,0.334]
@attribute Band49 real[0.0,0.198]
@attribute Band50 real[0.0,0.082]
@attribute Band51 real[0.0,0.1]
@attribute Band52 real[0.0010,0.071]
@attribute Band53 real[0.0,0.039]
@attribute Band54 real[0.0010,0.035]
@attribute Band55 real[0.0010,0.045]
@attribute Band56 real[0.0,0.039]
@attribute Band57 real[0.0,0.036]
@attribute Band58 real[0.0,0.044]
@attribute Band59 real[0.0,0.036]
@attribute Band60 real[0.0010,0.044]
@attribute Type{R,M}
@inputs Band1, Band2, Band3, Band4, Band5, Band6, Band7, Band8, Band9, Band10, Band11, Band12, Band13, Band14, Band15, Band16, Band17, Band18, Band19, Band20, Band21, Band22, Band23, Band24, Band25, Band26, Band27, Band28, Band29, Band30, Band31, Band32, Band33, Band34, Band35, Band36, Band37, Band38, Band39, Band40, Band41, Band42, Band43, Band44, Band45, Band46, Band47, Band48, Band49, Band50, Band51, Band52, Band53, Band54, Band55, Band56, Band57, Band58, Band59, Band60
@outputs Type
@data
0.01, 0.017, 0.062, 0.02, 0.02, 0.037, 0.11, 0.128, 0.06, 0.126, 0.088, 0.199, 0.018, 0.226, 0.173, 0.213, 0.069, 0.228, 0.406, 0.397, 0.274, 0.369, 0.556, 0.485, 0.314, 0.533, 0.526, 0.252, 0.209, 0.356, 0.626, 0.734, 0.612, 0.35, 0.395, 0.301, 0.541, 0.881, 0.986, 0.917, 0.612, 0.501, 0.321, 0.32, 0.43, 0.365, 0.266, 0.158, 0.068, 0.029, 0.024, 0.012, 0.0040, 0.015, 0.0080, 0.0070, 0.0050, 0.0040, 0.0040, 0.012, R
0.029, 0.045, 0.028, 0.017, 0.038, 0.099, 0.12, 0.183, 0.21, 0.304, 0.299, 0.425, 0.634, 0.82, 1.0, 0.999, 0.951, 0.902, 0.723, 0.512, 0.207, 0.398, 0.589, 0.287, 0.204, 0.578, 0.539, 0.375, 0.341, 0.507, 0.558, 0.478, 0.33, 0.22, 0.141, 0.286, 0.381, 0.416, 0.405, 0.33, 0.271, 0.265, 0.072, 0.124, 0.119, 0.109, 0.062, 0.049, 0.026, 0.0080, 0.01, 0.0040, 0.0010, 0.0040, 0.0010, 0.0090, 0.0060, 0.0030, 0.0050, 0.0060, R
0.01, 0.048, 0.03, 0.03, 0.065, 0.108, 0.236, 0.238, 0.0080, 0.188, 0.146, 0.189, 0.318, 0.134, 0.217, 0.246, 0.259, 0.279, 0.23, 0.066, 0.144, 0.118, 0.167, 0.178, 0.248, 0.257, 0.104, 0.536, 0.712, 0.629, 0.476, 0.602, 0.721, 0.623, 0.572, 0.752, 0.871, 0.925, 0.971, 0.93, 0.9, 0.791, 0.56, 0.284, 0.441, 0.551, 0.433, 0.29, 0.198, 0.078, 0.04, 0.017, 0.015, 0.012, 0.02, 0.014, 0.0030, 0.016, 0.011, 0.013, R
0.037, 0.028, 0.023, 0.022, 0.018, 0.073, 0.084, 0.103, 0.099, 0.08, 0.156, 0.256, 0.262, 0.118, 0.06, 0.156, 0.224, 0.359, 0.179, 0.326, 0.608, 0.699, 0.839, 0.855, 0.771, 0.622, 0.574, 0.44, 0.406, 0.441, 0.513, 0.596, 0.727, 0.654, 0.59, 0.539, 0.49, 0.408, 0.414, 0.6, 0.72, 0.663, 0.629, 0.409, 0.321, 0.252, 0.148, 0.099, 0.032, 0.027, 0.0070, 0.0010, 0.0040, 0.0020, 0.0010, 0.0070, 0.01, 0.0050, 0.0080, 0.0060, R
0.026, 0.044, 0.014, 0.0080, 0.03, 0.044, 0.034, 0.078, 0.084, 0.078, 0.033, 0.206, 0.191, 0.106, 0.146, 0.223, 0.207, 0.11, 0.108, 0.116, 0.222, 0.069, 0.206, 0.238, 0.09, 0.228, 0.587, 0.846, 0.847, 0.768, 0.806, 0.626, 0.654, 0.875, 0.988, 0.935, 0.696, 0.573, 0.587, 0.666, 0.565, 0.525, 0.368, 0.2, 0.151, 0.051, 0.093, 0.098, 0.052, 0.019, 0.01, 0.0040, 0.019, 0.016, 0.0070, 0.01, 0.0070, 0.0080, 0.0090, 0.01, R
0.022, 0.022, 0.027, 0.014, 0.036, 0.078, 0.091, 0.091, 0.115, 0.097, 0.12, 0.11, 0.119, 0.176, 0.239, 0.214, 0.193, 0.176, 0.075, 0.126, 0.2, 0.157, 0.26, 0.539, 0.844, 1.0, 0.868, 0.674, 0.554, 0.464, 0.361, 0.206, 0.162, 0.209, 0.31, 0.234, 0.106, 0.038, 0.053, 0.129, 0.224, 0.192, 0.159, 0.094, 0.084, 0.067, 0.034, 0.047, 0.036, 0.014, 0.0080, 0.014, 0.0040, 0.0050, 0.0070, 0.0020, 0.0050, 0.0020, 0.0010, 0.0020, R
0.014, 0.022, 0.0090, 0.011, 0.022, 0.014, 0.066, 0.095, 0.079, 0.102, 0.126, 0.083, 0.049, 0.085, 0.151, 0.14, 0.107, 0.192, 0.299, 0.325, 0.38, 0.566, 0.748, 0.876, 0.905, 0.751, 0.686, 0.704, 0.586, 0.377, 0.221, 0.263, 0.267, 0.291, 0.198, 0.229, 0.319, 0.287, 0.292, 0.281, 0.268, 0.211, 0.151, 0.179, 0.185, 0.172, 0.09, 0.066, 0.044, 0.011, 0.0020, 0.0060, 0.0070, 0.011, 0.0010, 0.0020, 0.0020, 0.0060, 0.0040, 0.0050, R
0.011, 0.0090, 0.0060, 0.046, 0.075, 0.089, 0.102, 0.049, 0.047, 0.039, 0.111, 0.141, 0.22, 0.298, 0.412, 0.475, 0.539, 0.628, 0.706, 0.792, 0.949, 1.0, 0.964, 0.943, 0.866, 0.79, 0.65, 0.449, 0.474, 0.615, 0.493, 0.32, 0.374, 0.334, 0.105, 0.067, 0.038, 0.046, 0.169, 0.217, 0.168, 0.064, 0.016, 0.078, 0.065, 0.021, 0.051, 0.039, 0.026, 0.01, 0.016, 0.0030, 0.0080, 0.011, 0.0080, 0.0060, 0.0, 0.0020, 0.0030, 0.0030, R
0.086, 0.045, 0.038, 0.02, 0.038, 0.053, 0.214, 0.311, 0.284, 0.275, 0.271, 0.095, 0.102, 0.452, 0.674, 0.67, 0.707, 0.563, 0.378, 0.272, 0.53, 0.77, 0.864, 0.93, 0.937, 0.625, 0.602, 0.681, 0.505, 0.578, 0.475, 0.24, 0.278, 0.2, 0.53, 0.741, 0.778, 0.442, 0.142, 0.351, 0.448, 0.421, 0.305, 0.224, 0.261, 0.28, 0.239, 0.202, 0.133, 0.036, 0.013, 0.017, 0.014, 0.0080, 0.0040, 0.0050, 0.026, 0.01, 0.0040, 0.0040, R
0.025, 0.081, 0.051, 0.024, 0.172, 0.382, 0.373, 0.358, 0.343, 0.22, 0.265, 0.322, 0.558, 0.692, 0.794, 0.715, 0.351, 0.201, 0.268, 0.43, 0.528, 0.349, 0.143, 0.545, 0.634, 0.771, 0.684, 0.802, 0.807, 0.831, 0.779, 0.505, 0.141, 0.277, 0.508, 0.479, 0.136, 0.23, 0.279, 0.383, 0.293, 0.116, 0.17, 0.129, 0.091, 0.08, 0.057, 0.02, 0.011, 0.015, 0.0080, 0.018, 0.0070, 0.0080, 0.0040, 0.012, 0.0030, 0.0040, 0.0080, 0.0050, R
